Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n236,7,0.0078,1.000000,123435.50,36888.775592,23433.735279,38513.943688,24599.040680
n237,7,0.0078,1.000000,139878.90,63212.704168,11177.002002,20774.008977,44715.182976
n238,7,0.0078,1.000000,134355.42,3539.702672,46365.962932,63542.653229,20907.099723
n239,7,0.0078,1.000000,132843.58,13107.921098,11991.862667,32714.019288,75029.781239
n240,7,0.0078,1.000000,129410.20,16075.460743,5610.133836,32678.866740,75045.737866
n241,7,0.0078,1.000000,117501.80,47215.125676,5199.648476,32739.093986,32347.930409
n242,7,0.0078,1.000000,108720.79,15791.695154,9608.947135,33870.004111,49450.138648
n243,7,0.0078,1.000000,121602.16,54098.251238,7035.983110,19289.519031,41178.406668
n244,7,0.0078,1.000000,115881.47,3768.679787,6700.560137,49214.835788,56197.393945
n245,7,0.0078,1.000000,120978.83,19139.189797,55425.832464,10937.656153,35476.156456
n246,7,0.0078,1.000000,104863.93,21549.827336,33187.152436,25149.936359,24977.015000
n247,7,0.0078,1.000000,143577.37,64902.366141,18228.280876,29393.775121,31052.945734
n248,7,0.0078,1.000000,141094.33,5063.579780,43000.794963,33234.652920,59795.301230
n249,7,0.0078,1.000000,143780.92,33762.500775,61636.889656,25477.726637,22903.805466
n250,7,0.0078,1.000000,132480.76,26171.391028,59439.680401,26346.261703,20523.423276
n251,7,0.0078,1.000000,152764.01,3927.121367,3017.817391,31887.956237,113931.119895
n252,7,0.0078,1.000000,146564.90,101604.917110,15480.294193,14052.591468,15427.093811
n253,7,0.0078,1.000000,141892.24,20547.458865,18537.534072,37206.410501,65600.837603
n254,7,0.0078,1.000000,146034.90,7273.337013,23502.910957,44384.749059,70873.899627
n255,8,0.0039,1.000000,132396.85,25028.614658,35484.533511,29036.627907,42847.074623
n256,8,0.0039,1.000000,129506.99,12123.597105,39318.587285,48274.213596,29790.595437
n257,8,0.0039,1.000000,117886.10,11985.437398,22035.697512,48345.616450,35519.345976
n258,8,0.0039,1.000000,106218.81,13418.227595,23503.126085,34163.087927,35134.372213
n259,8,0.0039,1.000000,132615.60,24075.419202,20132.211090,45542.114155,42865.853710
n260,8,0.0039,1.000000,137854.33,8634.590619,8402.621935,58613.393746,62203.725627
n261,8,0.0039,1.000000,138550.22,15490.948184,11621.789415,42649.224434,68788.257647
n262,8,0.0039,1.000000,136063.82,8587.861505,14265.012128,33948.164420,79262.777418
n263,8,0.0039,1.000000,120882.82,36945.408052,21995.110531,26559.800891,35382.495526
n264,8,0.0039,1.000000,122870.92,26460.295934,15350.259184,35783.771818,45276.596652
n265,8,0.0039,1.000000,126122.24,23873.057986,15100.226561,34890.387745,52258.568079
n266,8,0.0039,1.000000,119908.20,31990.605601,18910.077116,35075.225382,33932.288973
n267,8,0.0039,1.000000,127881.81,36191.065591,42996.251754,27024.321254,21670.172532
n268,8,0.0039,1.000000,121233.83,15877.147227,22113.854367,37141.802807,46101.024325
n269,8,0.0039,1.000000,125137.11,23625.185390,32363.695968,30186.261509,38961.966889
n270,8,0.0039,1.000000,129067.03,18563.073647,42515.178119,29758.547446,38230.229496
n271,8,0.0039,1.000000,118584.68,8239.433475,39356.668270,34013.594246,36974.981674
n272,8,0.0039,1.000000,97564.43,21913.985403,22659.118082,26539.903042,26451.420197
n273,8,0.0039,1.000000,113480.51,17855.708492,14628.488347,40209.013430,40787.295202
n274,8,0.0039,1.000000,125053.68,15939.559388,12621.426119,48470.336175,48022.359477
n275,8,0.0039,1.000000,149439.87,8923.027997,7834.808577,55135.465254,77546.567651
n276,8,0.0039,1.000000,154099.24,46969.312827,19227.638728,34481.580152,53420.713043
n277,8,0.0039,1.000000,149616.61,31838.955199,48692.869333,31760.451077,37324.337205
n278,8,0.0039,1.000000,150898.94,76251.064871,14394.321911,23414.279075,36839.274650
n279,8,0.0039,1.000000,139362.91,9524.163799,33108.753647,38242.892784,58487.103936
n280,8,0.0039,1.000000,137863.66,8721.012884,11262.436285,77009.981823,40870.231960
n281,8,0.0039,1.000000,132619.18,27940.953994,46795.622018,29662.086367,28220.520219
n282,8,0.0039,1.000000,139018.38,6094.848404,14442.991043,56339.391739,62141.153421
n283,8,0.0039,1.000000,124758.35,39997.512502,30552.321323,24219.997574,29988.513899
n284,8,0.0039,1.000000,111493.99,21333.983625,38445.936353,24117.648156,27596.417298
n285,8,0.0039,1.000000,134956.57,9221.940972,24764.091816,32007.179928,68963.354506
n286,8,0.0039,1.000000,132983.62,19985.497893,36152.099434,38111.844709,38734.179351
n287,8,0.0039,1.000000,130696.81,33963.198447,36756.992076,21049.947639,38926.669267
n288,8,0.0039,1.000000,120023.33,33802.075476,38544.035639,24139.144061,23538.074469
n289,8,0.0039,1.000000,126236.74,6516.848660,20638.717277,41807.483211,57273.689653
n290,8,0.0039,1.000000,122522.29,30373.114609,29576.203258,38028.909731,24544.061098
n291,8,0.0039,1.000000,151638.80,31475.839707,51854.431267,26288.673467,42019.856375
n292,8,0.0039,1.000000,156490.24,27686.393649,31410.622904,38908.951778,58484.269947
n293,8,0.0039,1.000000,150222.89,18144.112009,15536.052650,70673.543116,45869.180782
n294,8,0.0039,1.000000,157411.29,90281.088091,14882.395826,14737.331340,37510.473466
n295,8,0.0039,1.000000,154832.63,41537.670713,13877.485552,54309.846669,45107.622446
n296,8,0.0039,1.000000,145473.96,10602.110425,29576.573801,62892.434148,42402.842988
n297,8,0.0039,1.000000,153016.12,37788.280840,64784.616538,22837.381113,27605.844938
n298,8,0.0039,1.000000,162858.76,39360.816040,16516.579701,75673.357155,31308.006050
n299,8,0.0039,1.000000,119355.48,11182.064090,32037.333444,45317.679235,30818.399313
n300,8,0.0039,1.000000,119489.74,36347.919263,29181.219758,23321.727054,30638.870322
n301,8,0.0039,1.000000,136433.80,10389.706119,57600.604629,26524.528592,41918.964627
n302,8,0.0039,1.000000,148213.07,11086.760805,36692.887027,24834.339683,75599.081038
n303,8,0.0039,1.000000,122139.09,8209.786735,27633.964534,49191.384706,37103.951314
n304,8,0.0039,1.000000,123712.71,41518.279257,18600.006915,24783.841204,38810.585493
n305,8,0.0039,1.000000,109881.06,9899.975092,39581.182934,23139.853920,37260.050491
n306,8,0.0039,1.000000,108765.15,17628.631596,19842.793344,35186.841919,36106.883233
n307,8,0.0039,1.000000,103850.27,16591.530621,18911.520704,31376.307537,36970.910283
n308,8,0.0039,1.000000,117023.96,17087.588582,17070.814998,43773.281242,39092.272824
n309,8,0.0039,1.000000,114050.75,23842.801947,42449.151351,20687.575195,27071.225059
n310,8,0.0039,1.000000,104281.95,14481.190157,42077.104411,17323.929899,30399.725481
n311,8,0.0039,1.000000,145992.62,7921.186135,25940.567862,39540.634603,72590.232597
n312,8,0.0039,1.000000,146049.67,23620.867219,14509.056437,57266.109645,50653.636198
