Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n222,7,0.0078,1.700000,222147.32,8799.536099,173283.126365,31212.135541,8852.523324
n223,7,0.0078,1.700000,235939.95,66320.934027,11958.303680,153361.572662,4299.138557
n224,7,0.0078,1.700000,265443.32,206255.251071,55404.990813,2596.400260,1186.672858
n225,7,0.0078,1.700000,240026.28,69306.964776,168579.413727,1328.932758,810.972577
n226,7,0.0078,1.700000,226038.57,171451.058672,30959.463581,19465.705678,4162.337161
n227,7,0.0078,1.700000,236920.98,96866.326127,134943.279219,1944.342885,3167.032428
n228,7,0.0078,1.700000,222561.12,173310.747109,46676.496831,1593.174718,980.698556
n229,7,0.0078,1.700000,240336.20,32689.523207,182766.416267,16010.170435,8870.094284
n230,7,0.0078,1.700000,238301.10,189985.751656,45474.526467,1592.325885,1248.491520
n231,7,0.0078,1.700000,214134.78,170508.825078,3085.852497,38500.173839,2039.931274
n232,7,0.0078,1.700000,194115.72,152872.369027,35892.616395,2667.300377,2683.430756
n233,7,0.0078,1.700000,211499.99,145482.683864,63083.736036,1273.996904,1659.576343
n234,7,0.0078,1.700000,185723.98,6054.900946,147988.109731,18144.570658,13536.402314
n235,7,0.0078,1.700000,223671.50,72735.676725,58526.141461,14721.059599,77688.625801
n236,7,0.0078,1.700000,190703.73,9986.922229,48719.037248,15042.553430,116955.212349
n237,7,0.0078,1.700000,183705.05,3364.176987,143227.454114,31919.771454,5193.646402
n238,7,0.0078,1.700000,186185.24,148684.146705,4681.191147,3971.799659,28848.105820
n239,7,0.0078,1.700000,194739.50,105703.945322,81610.838767,5784.054008,1640.662827
n240,7,0.0078,1.700000,180124.68,31585.134254,142246.451048,4749.166670,1543.929368
n241,7,0.0078,1.700000,184937.20,4322.364380,147299.479320,16006.729570,17308.626586
n242,7,0.0078,1.700000,167530.66,36484.428498,127905.503974,2039.076848,1101.648562
n243,7,0.0078,1.700000,212570.07,4780.031588,168178.048351,33223.576565,6388.414631
n244,7,0.0078,1.700000,157805.52,124723.237013,31501.863339,825.820644,754.595461
n245,7,0.0078,1.700000,155379.95,29945.552453,1496.700426,121137.817926,2799.883961
n246,7,0.0078,1.700000,132323.11,48812.402976,2279.418969,67077.884968,14153.403340
n247,7,0.0078,1.700000,202077.90,3360.100117,145684.789154,23863.894199,29169.116075
n248,7,0.0078,1.700000,212433.65,169194.691563,7337.848129,26250.270082,9650.841947
n249,7,0.0078,1.700000,229119.64,33570.296237,8820.573720,71005.476941,115723.290701
n250,7,0.0078,1.700000,182831.15,30368.170457,2027.293874,22984.184777,127451.497247
n251,7,0.0078,1.700000,275136.10,63432.046662,206900.408707,4643.322196,160.318588
n252,7,0.0078,1.700000,231817.84,997.740731,53503.615163,119551.232185,57765.254037
n253,7,0.0078,1.700000,234439.86,21602.902029,75362.635230,121895.062217,15579.257967
n254,7,0.0078,1.700000,239564.60,184624.709608,28315.606531,16637.010923,9987.268350
n255,8,0.0039,1.600000,130669.16,82129.260320,11747.144787,30041.748251,6751.004262
n256,8,0.0039,1.600000,151996.64,119029.824881,13693.533644,5300.758751,13972.523515
n257,8,0.0039,1.600000,167078.03,130769.751618,26775.200774,3509.596347,6023.479419
n258,8,0.0039,1.600000,138990.90,109016.129097,20012.012781,5414.349389,4548.413295
n259,8,0.0039,1.600000,189027.39,45344.211982,120937.142260,11637.428416,11108.603485
n260,8,0.0039,1.600000,216047.30,112640.951511,98278.775514,2648.447710,2479.124773
n261,8,0.0039,1.600000,219513.29,52320.371015,155130.950463,7536.450038,4525.521755
n262,8,0.0039,1.600000,239641.72,175950.460578,49921.294703,9913.429826,3856.537189
n263,8,0.0039,1.600000,221654.61,18755.279724,119043.465974,59507.489657,24348.370919
n264,8,0.0039,1.600000,215407.27,28426.013151,161960.630020,14969.545687,10051.079116
n265,8,0.0039,1.600000,208701.08,34676.348962,147565.047853,17444.137345,9015.542340
n266,8,0.0039,1.600000,215671.71,15947.967285,161420.104993,19548.842513,18754.797279
n267,8,0.0039,1.600000,160737.33,7400.456370,5296.497987,31921.451847,116118.921038
n268,8,0.0039,1.600000,148232.65,109519.077252,31220.481800,4189.684012,3303.409428
n269,8,0.0039,1.600000,149390.66,69162.446588,22835.278302,44669.318942,12723.616074
n270,8,0.0039,1.600000,157743.33,105566.597268,7017.831679,31602.387614,13556.513601
n271,8,0.0039,1.600000,145547.35,115538.800289,6094.310712,12215.458503,11698.778799
n272,8,0.0039,1.600000,144829.83,85858.373169,28582.644449,10330.992898,20057.816678
n273,8,0.0039,1.600000,148801.56,34337.451864,109349.399092,2516.901131,2597.810598
n274,8,0.0039,1.600000,166581.38,31512.361763,126946.126515,3840.091348,4282.799215
n275,8,0.0039,1.600000,203764.20,59496.242615,138777.979959,3082.943642,2407.031172
n276,8,0.0039,1.600000,211757.03,22237.392357,146905.594266,28582.925418,14031.113687
n277,8,0.0039,1.600000,204342.20,51698.959318,15253.697284,83748.658268,53640.880649
n278,8,0.0039,1.600000,221072.22,4997.945045,160146.256695,40600.960123,15327.054287
n279,8,0.0039,1.600000,276808.39,213590.349736,19136.049973,25584.592283,18497.401203
n280,8,0.0039,1.600000,309963.30,222203.742189,60840.952638,9402.249102,17516.355610
n281,8,0.0039,1.600000,233402.13,41842.633210,13040.018212,83659.849019,94859.626892
n282,8,0.0039,1.600000,263391.42,205427.427102,38241.080584,10163.625792,9559.288981
n283,8,0.0039,1.600000,213596.13,13918.885318,27312.028127,120141.335184,52223.878607
n284,8,0.0039,1.600000,215858.70,120377.260322,2145.251835,66190.483290,27145.703381
n285,8,0.0039,1.600000,296712.26,223455.795676,30354.288627,28939.775823,13962.395547
n286,8,0.0039,1.600000,262089.82,131977.872013,52448.566943,41676.456222,35986.922790
n287,8,0.0039,1.600000,308621.36,46362.557256,45268.421306,178102.093612,38888.290186
n288,8,0.0039,1.600000,316050.15,21249.002817,16678.397352,96905.141864,181217.605966
n289,8,0.0039,1.600000,315205.51,244632.780988,30754.441062,22144.472436,17673.817937
n290,8,0.0039,1.600000,298551.91,54249.129118,50409.241242,26000.221212,167893.319835
n291,8,0.0039,1.600000,370383.97,77989.995541,51056.803785,156273.942332,85063.231934
n292,8,0.0039,1.600000,407120.51,108575.897643,91530.150535,114779.186675,92235.270395
n293,8,0.0039,1.600000,503174.79,70757.432846,107507.744090,195094.929787,129814.685891
n294,8,0.0039,1.600000,518891.21,247245.974631,72989.513706,92356.317841,106299.406362
n295,8,0.0039,1.600000,315069.72,25335.445936,185010.049800,42933.279000,61790.949137
n296,8,0.0039,1.600000,333354.33,239110.421964,31387.897510,29154.318880,33701.690498
n297,8,0.0039,1.600000,316476.05,46475.057542,18844.068024,164445.411520,86711.508513
n298,8,0.0039,1.600000,361919.18,94898.747009,147137.748271,31860.891395,88021.790930
n299,8,0.0039,1.600000,263694.63,204408.513068,22980.633389,13680.037703,22625.445183
n300,8,0.0039,1.600000,266307.18,19143.075946,35260.536502,164028.859924,47874.706364
n301,8,0.0039,1.600000,294577.96,216952.786217,9622.602932,32391.317703,35611.251442
n302,8,0.0039,1.600000,306091.45,203536.749309,19322.421116,63537.864371,19694.418406
